group	name	discription	data type	defaultvalue	opt1	opt2	opt3	opt4	opt5	opt6	opt7	opt8	opt9	opt10	opt11
内部仕上表（文字列変換）	天井高（文字列）	"「天井有・無」が「無」の場合「直天」と表示します。「天井高２」の値が「0」より大きい場合「天井高１」と「天井高２」を連結して表示します。
「TK05内部仕上表（レベル文字列）」で利用しています。"	Expression	"IF ( {Property:建築_内部仕上表/天井［有無］} = ""未選択"", ""未"", IF ( {Property:建築_内部仕上表/天井［有無］} = ""無"", ""直天"", IF ( {Property:建築_内部仕上表/天井［有無］} = ""普通"", STR ( {Property:建築_内部仕上表/天井高１}, 0 ), IF ( {Property:建築_内部仕上表/天井［有無］} = ""段差"", CONCAT ( STR ( {Property:建築_内部仕上表/天井高１}, 0 ), ""・"", STR ( {Property:建築_内部仕上表/天井高２}, 0 ) ), CONCAT ( STR ( {Property:建築_内部仕上表/天井高１}, 0 ), ""～"", STR ( {Property:建築_内部仕上表/天井高２}, 0 ) ) ) ) ) )"
内部仕上表（文字列変換）	床仕上高（文字列）	"「床仕上レベル差」が「有」の場合「床仕上高１」と「床仕上高２」の値を連結します。「床仕上レベル差」が「無」の場合「床仕上高１」の値のみ表示します。
「TK05内部仕上表（レベル文字列）」で利用しています。"	Expression	"IF ( {Property:建築_内部仕上表/床仕上レベル差［有無］} = ""未選択"", ""未"", IF ( {Property:建築_内部仕上表/床仕上レベル差［有無］} = ""有"", CONCAT ( IF ( {Property:建築_内部仕上表/床仕上高１} = 0, CONCAT ( ""±"", STR ( {Property:建築_内部仕上表/床仕上高１}, 0 ) ), STR ( {Property:建築_内部仕上表/床仕上高１}, 0 ) ), ""～"", IF ( {Property:建築_内部仕上表/床仕上高２} = 0, CONCAT ( ""±"", STR ( {Property:建築_内部仕上表/床仕上高２}, 0 ) ), STR ( {Property:建築_内部仕上表/床仕上高２}, 0 ) ) ), IF ( {Property:建築_内部仕上表/床仕上高１} = 0, CONCAT ( ""±"", STR ( {Property:建築_内部仕上表/床仕上高１}, 0 ) ), STR ( {Property:建築_内部仕上表/床仕上高１}, 0 ) ) ) )"
内部仕上表（文字列変換）	床スラブ高（文字列）	"「床スラブ高レベル差」が「有」の場合「床スラブ高１」と「床スラブ高２」の値を連結します。「床スラブ高レベル差」が「無」の場合「床スラブ高１」の値のみ表示します。
「TK05内部仕上表（レベル文字列）」で利用しています。"	Expression	"IF ( {Property:建築_内部仕上表/床スラブ高レベル差［有無］} = ""未選択"", ""未"", IF ( {Property:建築_内部仕上表/床スラブ高レベル差［有無］} = ""有"", CONCAT ( IF ( {Property:建築_内部仕上表/床スラブ高１} = 0, CONCAT ( ""±"", STR ( {Property:建築_内部仕上表/床スラブ高１}, 0 ) ), STR ( {Property:建築_内部仕上表/床スラブ高１}, 0 ) ), ""～"", IF ( {Property:建築_内部仕上表/床スラブ高２} = 0, CONCAT ( ""±"", STR ( {Property:建築_内部仕上表/床スラブ高２}, 0 ) ), STR ( {Property:建築_内部仕上表/床スラブ高２}, 0 ) ) ), IF ( {Property:建築_内部仕上表/床スラブ高１} = 0, CONCAT ( ""±"", STR ( {Property:建築_内部仕上表/床スラブ高１}, 0 ) ), STR ( {Property:建築_内部仕上表/床スラブ高１}, 0 ) ) ) )"
内部仕上表（文字列変換）	幅木高（文字列）	"「幅木：高さ」に「H=」を連結して表示します。
「TK05内部仕上表（レベル文字列）」で利用しています。"	Expression	"IF ( {Property:建築_内部仕上表/幅木：高さ［mm］} = 0, """", CONCAT ( ""H="", STR ( {Property:建築_内部仕上表/幅木：高さ［mm］}, 0 ) ) )"
建築_法規	法規_採光_非常照明［有無］	非常照明の有無を記載	Optset	未選択	未選択	有	無
建築_法規	法規_採光_種別［1/n］	"採光の種別を記載
例：1/20採光→1/nなので「20」を記載"	Numeric	0
建築_法規	法規_採光_特記	採光について特記を記載	String	未定義
建築_法規	法規_採光_必要面積［m2］	"採光必要面積を記載。基本的には室面積×「法規_採光_種別［1/n］」で得られた面積。
※Archicad22では自動的に計算可能。"	Numeric	0
建築_法規	法規_採光_有効面積［m2］	確保できている採光有効面積を記載	Numeric	0
建築_法規	法規_換気_換気方式	換気方式を記載	Optset	未選択	未選択	-	自然	機械
建築_法規	法規_換気_特記	換気について特記を記載	String	未定義
建築_法規	法規_換気_必要面積［m2］	換気必要面積を記載。	Numeric	0
建築_法規	法規_換気_有効面積［m2］	確保できている換気有効面積を記載	Numeric	0
建築_法規	法規_換気_火気使用	換気について、火気使用に該当するか記載	String	未定義
建築_法規	法規_排煙_特記	排煙について特記事項を記載	String	未定義
建築_法規	法規_排煙_必要面積［m2］	排煙必要面積を記載	Numeric	0
建築_法規	法規_排煙_有効面積［m2］	確保できている排煙有効面積を記載	Numeric	0
一般性能	区画	区画の種類を設定します。	Optset	未選択	未選択	防火区画	界壁	防火上主要な間仕切壁	小屋裏隔壁	排煙区画	対象外
一般性能	耐火性能	要素の耐火性能を設定します。	Optset	未選択	未選択	3時間耐火構造	2時間耐火構造	1時間耐火構造	30分耐火構造	1時間準耐火構造	45分準耐火構造	30分準耐火構造	防火構造	準防火構造	対象外
一般性能	壁遮音性能	要素の遮音性能を設定します。	Optset	未選択	未選択	D-60	D-55	D-50	D-45	D-40	D-35	D-30	対象外
一般性能	床遮音性能	要素の遮音性能を設定します。	Optset	未選択	未選択	L-80	L-75	L-70	L-65	L-60	L-55	L-50	L-45	L-40	L-35	L-30	対象外
一般性能	認定番号	要素に関連する認定番号を記載します。	String	未定義
一般性能	告示番号	要素に関連する告示番号を記載します。	String	未定義
仕上情報	名称	仕上の名称を記載します。	String	未定義
仕上情報	品番	仕上の品番を記載します。	String	未定義
仕上情報	メーカー	仕上のメーカーを記載します。	String	未定義
仕上情報	WEBサイト	関連するWEBサイトを記載します。	String	未定義
施工情報	工事区分	要素の工事区分を設定します。	Optset	未選択	未選択	A工事	B工事	C工事	対象外
施工情報	工事種別	要素の工事種別を設定します。	Optset	未選択	未選択	仮設工事	基礎工事	躯体工事	屋根工事	建具工事	外装工事	内装工事	設備工事	外構工事	雑工事	対象外
施工情報	施工フェーズ	要素の施工フェーズを記載します。	String	未定義
施工情報	施工状況	要素の施工状況を設定します。	Optset	未選択	未選択	施工前	施工中	施工済み	対象外
施工情報	施工社名	施工者名を記載します。	String	未定義
施工情報	施工者連絡先	施工者連絡先を記載します。	String	未定義
保証情報	保証内容	保証内容を記載します。	String	未定義
保証情報	保証開始日	保証開始日を記載します。	String	年/月/日
保証情報	保証期間	保証期間を記載します。	String	未定義
保証情報	保証番号	保証番号を記載します。	String	未定義
壁下地情報	LGS種別		Optset	未選択	未選択	50	65	75	90	100
壁下地情報	断熱・防露		Optset	なし	なし	グラスウール	ロックウール	ポリスチレンフォーム保温板	ウレタンフォーム保温板	フェノールフォーム保温板	ポリエチレンフィルム
建具表（扉）	階		String	未定義
建具表（扉）	部位		Optset	未選択	未選択	内	外
建具表（扉）	室名		String	未定義
建具表（扉）	法規制		String	未定義
建具表（扉）	形式記号		String	未定義
建具表（扉）	枠：形状		String	未定義
建具表（扉）	枠：見込		String	未定義
建具表（扉）	枠：材質		String	未定義
建具表（扉）	枠：仕上		String	未定義
建具表（扉）	くつずり：形状		String	未定義
建具表（扉）	くつずり：材質		String	未定義
建具表（扉）	くつずり：仕上		String	未定義
建具表（扉）	扉：見込		String	未定義
建具表（扉）	扉：材質		String	未定義
建具表（扉）	扉：仕上		String	未定義
建具表（扉）	扉：召合せ		String	未定義
建具表（扉）	額縁：見込		String	未定義
建具表（扉）	額縁：材質		String	未定義
建具表（扉）	額縁：仕上		String	未定義
建具表（扉）	ガラス：押縁		String	未定義
建具表（扉）	ガラス：種類及び厚さ		String	未定義
建具表（扉）	ガラリ：形状		String	未定義
建具表（扉）	ガラリ：成		String	未定義
建具表（扉）	ガラリ：材質		String	未定義
建具表（扉）	ガラリ：仕上		String	未定義
建具表（扉）	錠		String	未定義
建具表（扉）	把手類・握玉		String	未定義
建具表（扉）	金物・支持		String	未定義
建具表（扉）	金物・その他		String	未定義
建具表（扉）	備考		String	未定義
建具表（窓）	階		String	未定義
建具表（窓）	部位		Optset	未選択	未選択	内	外
建具表（窓）	室名		String	未定義
建具表（窓）	法規制		String	未定義
建具表（窓）	形式記号		String	未定義
建具表（窓）	枠：見込		String	未定義
建具表（窓）	枠：材質		String	未定義
建具表（窓）	枠：仕上		String	未定義
建具表（窓）	枠：縦枠		String	未定義
建具表（窓）	枠：下枠		String	未定義
建具表（窓）	障子：材質		String	未定義
建具表（窓）	障子：仕上		String	未定義
建具表（窓）	水切：見込		String	未定義
建具表（窓）	水切：材質		String	未定義
建具表（窓）	水切：仕上		String	未定義
建具表（窓）	額縁：見込		String	未定義
建具表（窓）	額縁：材質		String	未定義
建具表（窓）	額縁：仕上		String	未定義
建具表（窓）	ガラス：種類及び厚さ		String	未定義
建具表（窓）	グレイシング：材質		String	未定義
建具表（窓）	網戸：材質		String	未定義
建具表（窓）	網戸：開閉方式		String	未定義
建具表（窓）	ガラリ：形状		String	未定義
